Date,Open,High,Low,Close,Volume,Adj Close
7/1/2016,146.949997,146.949997,144.259995,144.820007,75600,144.113319
6/30/2016,143.330002,147.520004,143.119995,147.470001,123100,146.750381
6/29/2016,141.289993,143.369995,139.059998,142.520004,97200,141.824539
6/28/2016,142.229996,142.559998,139.369995,140.029999,105700,139.346684
6/27/2016,139.190002,143.300003,138.020004,141.089996,123700,140.401509
6/24/2016,135.139999,141.360001,133.199997,140.589996,129700,139.903949
6/23/2016,140.820007,141.460007,139.440002,140.119995,58500,139.436241
6/22/2016,140.880005,140.880005,139,140.25,67000,139.565612
6/21/2016,143.119995,143.119995,139.759995,141.100006,64800,140.41147
6/20/2016,141.789993,143.270004,139.149994,142.410004,105000,141.715075
6/17/2016,140.070007,141.509995,139.130005,140.529999,200800,139.844244
6/16/2016,131.380005,140.720001,130,140.529999,238700,139.844244
6/15/2016,128.660004,133.960007,127.330002,132.350006,180900,131.704168
6/14/2016,124.489998,128.960007,123.010002,127.279999,142800,126.658901
6/13/2016,122.300003,125.940002,120.5,124.25,122400,123.643688
6/10/2016,121.209999,122.120003,119.800003,121.910004,70600,121.315111
6/9/2016,124.239998,124.739998,121.25,121.779999,95300,121.18574
6/8/2016,123.660004,124.949997,123.040001,124.279999,100300,123.673541
6/7/2016,126.470001,126.760002,123.360001,123.830002,134800,123.22574
6/6/2016,124.099998,127.660004,123.989998,125.959999,118300,125.345343
6/3/2016,124.540001,125.779999,123.459999,124.269997,59700,123.663587
6/2/2016,125.669998,125.699997,123.519997,124.559998,84500,123.952173
6/1/2016,123.279999,126.25,123.010002,124.919998,269700,124.310417
5/31/2016,128.320007,128.320007,123.5,123.5,163100,122.897348
5/27/2016,122.760002,127.669998,122.5,126.959999,137700,126.340463
5/26/2016,125.889999,125.889999,122.879997,123.190002,84000,122.588863
5/25/2016,128.919998,128.919998,125.529999,125.82,76900,125.206027
5/24/2016,129.729996,131,126.910004,128.050003,207700,127.425148
5/23/2016,129.559998,132.5,128.050003,128.550003,241800,127.922708
5/20/2016,126.650002,129.259995,123.889999,128.699997,201900,128.07197
5/19/2016,134.080002,134.160004,125.709999,126.599998,306300,125.982219
5/18/2016,133.979996,135.690002,129,134.089996,269800,133.435668
5/17/2016,138.070007,138.660004,131.509995,133.259995,359300,132.609716
5/16/2016,148.860001,149.5,137.5,138.720001,416300,138.043079
5/13/2016,148.860001,150.979996,147.5,148.729996,48000,148.004227
5/12/2016,148.110001,151.279999,147.220001,149.270004,119600,148.541601
5/11/2016,165.309998,165.309998,144.589996,146.179993,317600,145.466668
5/10/2016,165.809998,167.940002,165.119995,166.990005,32700,166.175132
5/9/2016,166.320007,167.369995,164.570007,165.699997,59000,164.891419
5/6/2016,165.789993,165.809998,163.679993,165.720001,26700,164.911325
5/5/2016,163.570007,166.050003,163,165.570007,33500,164.762063
5/4/2016,161.300003,164.710007,159.970001,164,53400,163.199717
5/3/2016,163.339996,164.460007,160.550003,161.550003,65300,160.761676
5/2/2016,159.100006,164.509995,158.5,164.360001,61500,163.557961
4/29/2016,159.020004,159.850006,157.529999,159.369995,31800,158.592306
4/28/2016,159.779999,161.899994,157.550003,158.25,93800,157.477776
4/27/2016,161,162.440002,159.660004,160.419998,84200,159.637185
4/26/2016,161.949997,163.520004,159.630005,160.940002,105800,159.905873
